Occupation code,Occupation title ,Level,Employment,Employment RSE,"Employment per 1,000 jobs",Median hourly wage,Mean hourly wage,Annual mean wage,Mean wage RSE
33-2021,Fire Inspectors and Investigators,detail,"12,530",3.4%,0.087,$30.05,$30.84,"$64,140",1.2%
33-2022,Forest Fire Inspectors and Prevention Specialists,detail,"2,130",1.9%,0.015,$19.04,$23.85,"$49,610",1.3%
33-3000,Law Enforcement Workers,minor,"1,217,260",0.4%,8.410,$26.81,$29.42,"$61,190",0.7%
33-3010,"Bailiffs, Correctional Officers, and Jailers",broad,"433,900",0.5%,2.998,$21.35,$23.71,"$49,320",0.7%
33-3011,Bailiffs,detail,"18,900",1.2%,0.131,$22.00,$23.97,"$49,870",1.4%
33-3012,Correctional Officers and Jailers,detail,"415,000",0.5%,2.867,$21.31,$23.70,"$49,300",0.7%
33-3021,Detectives and Criminal Investigators,detail,"103,450",0.4%,0.715,$39.38,$40.88,"$85,020",0.5%
33-3031,Fish and Game Wardens,detail,"6,040",2.7%,0.042,$27.75,$28.49,"$59,260",0.8%
33-3041,Parking Enforcement Workers,detail,"8,070",1.9%,0.056,$19.15,$20.29,"$42,200",1.5%
33-3050,Police Officers,broad,"665,800",0.5%,4.600,$29.56,$31.47,"$65,460",0.8%
33-3051,Police and Sheriff's Patrol Officers,detail,"661,330",0.5%,4.569,$29.51,$31.44,"$65,400",0.8%
33-3052,Transit and Railroad Police,detail,"4,470",5.7%,0.031,$35.59,$35.79,"$74,450",1.8%
33-9000,Other Protective Service Workers,minor,"1,578,980",0.7%,10.910,$13.76,$15.59,"$32,430",0.4%
33-9011,Animal Control Workers,detail,"12,080",1.3%,0.083,$17.47,$18.51,"$38,490",0.6%
33-9021,Private Detectives and Investigators,detail,"30,990",7.0%,0.214,$24.08,$27.31,"$56,810",4.2%
33-9030,Security Guards and Gaming Surveillance Officers,broad,"1,124,610",0.9%,7.770,$13.72,$15.43,"$32,090",0.5%
33-9031,Gaming Surveillance Officers and Gaming Investigators,detail,"10,230",4.2%,0.071,$15.71,$17.41,"$36,200",1.2%
33-9032,Security Guards,detail,"1,114,380",0.9%,7.700,$13.70,$15.41,"$32,050",0.5%
33-9090,Miscellaneous Protective Service Workers,broad,"411,300",1.1%,2.842,$13.22,$15.06,"$31,330",0.6%
33-9091,Crossing Guards,detail,"79,880",2.6%,0.552,$13.92,$15.37,"$31,970",1.1%
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",detail,"144,370",1.6%,0.997,$10.77,$11.74,"$24,420",0.9%
33-9093,Transportation Security Screeners,detail,"45,250",0.3%,0.313,$19.95,$20.13,"$41,860",0.6%
33-9099,"Protective Service Workers, All Other",detail,"141,790",2.1%,0.980,$14.77,$16.66,"$34,650",0.8%
35-0000,Food Preparation and Serving Related Occupations,major,"13,374,620",0.1%,92.409,$11.09,$12.30,"$25,580",0.2%
35-1010,Supervisors of Food Preparation and Serving Workers,broad,"1,093,000",0.6%,7.552,$16.30,$18.30,"$38,070",0.3%
35-1011,Chefs and Head Cooks,detail,"128,600",2.9%,0.889,$23.30,$25.08,"$52,160",1.1%
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,detail,"964,400",0.6%,6.663,$15.60,$17.40,"$36,190",0.3%
35-2000,Cooks and Food Preparation Workers,minor,"3,218,110",0.5%,22.235,$11.91,$12.56,"$26,120",0.2%
35-2010,Cooks,broad,"2,403,510",0.5%,16.606,$12.12,$12.77,"$26,560",0.2%
35-2011,"Cooks, Fast Food",detail,"487,510",1.8%,3.368,$10.74,$10.89,"$22,650",0.4%
35-2012,"Cooks, Institution and Cafeteria",detail,"400,320",0.7%,2.766,$12.91,$13.60,"$28,290",0.3%
35-2013,"Cooks, Private Household",detail,460,24.6%,0.003,$18.07,$19.83,"$41,240",2.4%
35-2014,"Cooks, Restaurant",detail,"1,340,810",0.7%,9.264,$12.76,$13.26,"$27,580",0.3%
35-2015,"Cooks, Short Order",detail,"155,840",3.2%,1.077,$11.44,$12.09,"$25,140",0.8%
35-2019,"Cooks, All Other",detail,"18,570",5.9%,0.128,$13.78,$14.60,"$30,360",1.4%
35-2021,Food Preparation Workers,detail,"814,600",1.2%,5.628,$11.41,$11.94,"$24,830",0.4%
35-3000,Food and Beverage Serving Workers,minor,"7,630,110",0.3%,52.718,$10.43,$11.51,"$23,940",0.2%
35-3011,Bartenders,detail,"631,480",0.9%,4.363,$10.84,$12.88,"$26,780",0.5%
35-3020,Fast Food and Counter Workers,broad,"4,150,030",0.5%,28.674,$10.32,$10.70,"$22,260",0.2%
35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",detail,"3,676,180",0.6%,25.400,$10.22,$10.64,"$22,140",0.2%
35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",detail,"473,860",2.2%,3.274,$10.74,$11.17,"$23,240",0.4%
35-3031,Waiters and Waitresses,detail,"2,582,410",0.5%,17.843,$10.47,$12.42,"$25,830",0.4%
35-3041,"Food Servers, Nonrestaurant",detail,"266,190",1.5%,1.839,$11.20,$12.01,"$24,980",0.4%
35-9000,Other Food Preparation and Serving Related Workers,minor,"1,433,400",0.7%,9.904,$10.81,$11.32,"$23,540",0.3%
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,detail,"455,700",1.3%,3.149,$10.71,$11.52,"$23,950",0.5%
35-9021,Dishwashers,detail,"504,770",1.0%,3.488,$10.93,$11.15,"$23,190",0.3%
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",detail,"416,950",1.2%,2.881,$10.65,$11.18,"$23,260",0.4%
35-9099,"Food Preparation and Serving Related Workers, All Other",detail,"55,980",4.4%,0.387,$11.47,$12.23,"$25,430",1.0%
37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,"4,421,980",0.3%,30.553,$12.91,$14.43,"$30,020",0.2%
37-1010,First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,broad,"255,580",0.9%,1.766,$20.82,$22.30,"$46,380",0.4%
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,detail,"154,180",1.0%,1.065,$19.20,$20.75,"$43,150",0.5%
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",detail,"101,390",1.5%,0.701,$23.18,$24.66,"$51,280",0.5%
37-2000,Building Cleaning and Pest Control Workers,minor,"3,171,520",0.3%,21.913,$12.17,$13.56,"$28,200",0.2%
37-2010,Building Cleaning Workers,broad,"3,094,210",0.4%,21.379,$12.10,$13.44,"$27,960",0.2%
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",detail,"2,156,270",0.5%,14.898,$12.55,$13.92,"$28,950",0.3%
37-2012,Maids and Housekeeping Cleaners,detail,"924,290",0.8%,6.386,$11.43,$12.30,"$25,570",0.3%
37-2019,"Building Cleaning Workers, All Other",detail,"13,650",11.3%,0.094,$14.07,$15.73,"$32,710",3.1%
37-2021,Pest Control Workers,detail,"77,300",1.7%,0.534,$17.12,$18.24,"$37,950",1.1%
37-3010,Grounds Maintenance Workers,broad,"994,880",0.5%,6.874,$14.13,$15.19,"$31,600",0.3%
37-3011,Landscaping and Groundskeeping Workers,detail,"913,480",0.6%,6.311,$13.94,$14.88,"$30,940",0.3%
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",detail,"24,500",4.6%,0.169,$16.98,$18.37,"$38,210",1.8%
37-3013,Tree Trimmers and Pruners,detail,"42,440",5.3%,0.293,$18.36,$19.47,"$40,510",1.4%
37-3019,"Grounds Maintenance Workers, All Other",detail,"14,470",5.8%,0.100,$14.63,$17.17,"$35,710",2.1%
39-0000,Personal Care and Service Occupations,major,"5,451,330",0.4%,37.665,$11.74,$13.51,"$28,090",0.2%
39-1000,Supervisors of Personal Care and Service Workers,minor,"258,960",0.9%,1.789,$18.92,$20.53,"$42,710",0.4%
39-1010,First-Line Supervisors of Gaming Workers,broad,"30,330",2.5%,0.210,$23.76,$24.16,"$50,250",0.9%
39-1021,First-Line Supervisors of Personal Service Workers,detail,"228,620",1.0%,1.580,$18.46,$20.05,"$41,710",0.4%
39-2000,Animal Care and Service Workers,minor,"214,680",1.3%,1.483,$11.51,$12.76,"$26,540",0.5%
39-2011,Animal Trainers,detail,"14,830",5.9%,0.102,$14.08,$16.95,"$35,260",2.0%
39-2021,Nonfarm Animal Caretakers,detail,"199,850",1.4%,1.381,$11.42,$12.45,"$25,890",0.4%
39-3000,Entertainment Attendants and Related Workers,minor,"601,890",2.0%,4.159,$10.66,$11.56,"$24,050",0.4%
39-3010,Gaming Services Workers,broad,"113,640",2.5%,0.785,$10.07,$11.65,"$24,240",1.1%
39-3011,Gaming Dealers,detail,"92,530",2.7%,0.639,$9.68,$11.09,"$23,070",1.3%
39-3012,Gaming and Sports Book Writers and Runners,detail,"11,150",7.9%,0.077,$11.74,$13.29,"$27,640",1.7%
39-3019,"Gaming Service Workers, All Other",detail,"9,950",4.2%,0.069,$13.24,$15.03,"$31,260",1.6%
39-3021,Motion Picture Projectionists,detail,"4,840",8.8%,0.033,$10.94,$12.42,"$25,820",2.2%
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",detail,"133,970",2.5%,0.926,$10.70,$11.35,"$23,610",0.8%
39-3090,Miscellaneous Entertainment Attendants and Related Workers,broad,"349,440",3.0%,2.414,$10.78,$11.61,"$24,140",0.4%
39-3091,Amusement and Recreation Attendants,detail,"319,890",3.0%,2.210,$10.70,$11.28,"$23,460",0.4%
39-3092,Costume Attendants,detail,"6,460",12.9%,0.045,$19.80,$22.12,"$46,010",2.1%
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",detail,"17,610",4.1%,0.122,$11.55,$12.84,"$26,720",1.1%
39-3099,"Entertainment Attendants and Related Workers, All Other",detail,"5,480",9.7%,0.038,$11.68,$14.27,"$29,690",3.4%
39-4000,Funeral Service Workers,minor,"65,150",1.8%,0.450,$16.30,$19.77,"$41,130",1.1%
39-4011,Embalmers,detail,"4,070",6.7%,0.028,$21.27,$22.42,"$46,640",1.9%
39-4021,Funeral Attendants,detail,"35,340",2.5%,0.244,$12.69,$13.69,"$28,480",0.9%
39-4031,"Morticians, Undertakers, and Funeral Directors",detail,"25,740",2.7%,0.178,$25.31,$27.70,"$57,620",1.6%
39-5000,Personal Appearance Workers,minor,"575,110",0.9%,3.974,$11.94,$14.44,"$30,040",0.6%
39-5010,"Barbers, Hairdressers, Hairstylists and Cosmetologists",broad,"397,350",1.5%,2.745,$11.94,$14.59,"$30,340",0.7%
39-5011,Barbers,detail,"20,130",9.2%,0.139,$13.44,$15.97,"$33,220",3.1%
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",detail,"377,210",1.5%,2.606,$11.89,$14.51,"$30,190",0.7%
39-5090,Miscellaneous Personal Appearance Workers,broad,"177,770",2.7%,1.228,$11.94,$14.13,"$29,380",1.0%
39-5091,"Makeup Artists, Theatrical and Performance",detail,"3,140",9.2%,0.022,$30.89,$34.63,"$72,030",5.5%
39-5092,Manicurists and Pedicurists,detail,"110,170",4.5%,0.761,$11.70,$12.43,"$25,860",0.8%
39-5093,Shampooers,detail,"13,720",5.7%,0.095,$10.40,$10.65,"$22,160",1.1%
39-5094,Skincare Specialists,detail,"50,740",3.6%,0.351,$15.05,$17.48,"$36,350",1.6%
39-6010,"Baggage Porters, Bellhops, and Concierges",broad,"79,840",2.2%,0.552,$12.91,$14.46,"$30,070",0.8%
39-6011,Baggage Porters and Bellhops,detail,"42,350",2.7%,0.293,$11.64,$12.98,"$26,990",0.9%
39-6012,Concierges,detail,"37,490",3.5%,0.259,$14.61,$16.13,"$33,550",1.2%
39-7010,Tour and Travel Guides,broad,"49,740",2.7%,0.344,$12.77,$14.25,"$29,630",0.8%
39-9000,Other Personal Care and Service Workers,minor,"3,605,950",0.5%,24.914,$11.70,$13.07,"$27,190",0.3%
39-9011,Childcare Workers,detail,"564,630",1.2%,3.901,$11.17,$11.83,"$24,610",0.5%
39-9021,Personal Care Aides,detail,"2,211,950",0.7%,15.283,$11.55,$12.06,"$25,090",0.4%
39-9030,Recreation and Fitness Workers,broad,"662,040",0.8%,4.574,$14.14,$17.25,"$35,890",0.6%
39-9031,Fitness Trainers and Aerobics Instructors,detail,"308,470",1.2%,2.131,$19.15,$21.43,"$44,580",0.7%
39-9032,Recreation Workers,detail,"353,570",1.0%,2.443,$12.05,$13.61,"$28,310",0.4%
39-9041,Residential Advisors,detail,"108,380",2.3%,0.749,$13.39,$14.41,"$29,970",0.5%
39-9099,"Personal Care and Service Workers, All Other",detail,"58,970",3.3%,0.407,$12.59,$13.59,"$28,270",1.0%
41-0000,Sales and Related Occupations,major,"14,542,290",0.2%,100.476,$13.55,$20.09,"$41,790",0.2%
41-1010,First-Line Supervisors of Sales Workers,broad,"1,429,100",0.4%,9.874,$20.84,$24.97,"$51,930",0.2%
41-1011,First-Line Supervisors of Retail Sales Workers,detail,"1,181,530",0.5%,8.163,$19.05,$21.67,"$45,080",0.2%
41-1012,First-Line Supervisors of Non-Retail Sales Workers,detail,"247,570",0.9%,1.710,$35.29,$40.67,"$84,600",0.4%
41-2000,Retail Sales Workers,minor,"8,787,270",0.3%,60.714,$11.33,$12.75,"$26,520",0.2%
41-2010,Cashiers,broad,"3,657,570",0.6%,25.271,$10.79,$11.19,"$23,270",0.2%
41-2011,Cashiers,detail,"3,635,550",0.6%,25.119,$10.78,$11.17,"$23,240",0.2%
41-2012,Gaming Change Persons and Booth Cashiers,detail,"22,020",4.3%,0.152,$11.96,$13.09,"$27,220",1.0%
41-2020,Counter and Rental Clerks and Parts Salespersons,broad,"681,580",0.8%,4.709,$13.68,$15.52,"$32,280",0.3%
41-2021,Counter and Rental Clerks,detail,"426,700",1.0%,2.948,$13.12,$15.00,"$31,200",0.4%
41-2022,Parts Salespersons,detail,"254,870",1.2%,1.761,$14.63,$16.39,"$34,080",0.5%
41-2031,Retail Salespersons,detail,"4,448,120",0.5%,30.733,$11.63,$13.61,"$28,310",0.2%
41-3000,"Sales Representatives, Services",minor,"2,046,120",0.5%,14.137,$26.13,$34.37,"$71,490",0.5%
41-3011,Advertising Sales Agents,detail,"133,110",2.6%,0.920,$24.87,$30.46,"$63,360",0.9%
41-3021,Insurance Sales Agents,detail,"393,830",1.1%,2.721,$24.33,$32.64,"$67,890",0.8%
41-3031,"Securities, Commodities, and Financial Services Sales Agents",detail,"415,890",1.0%,2.873,$30.83,$47.49,"$98,770",1.4%
41-3041,Travel Agents,detail,"69,480",2.4%,0.480,$18.61,$20.54,"$42,720",1.1%
41-3099,"Sales Representatives, Services, All Other",detail,"1,033,820",0.8%,7.143,$26.23,$31.18,"$64,860",0.4%
41-4010,"Sales Representatives, Wholesale and Manufacturing",broad,"1,663,160",0.6%,11.491,$29.64,$35.43,"$73,680",0.4%
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",detail,"312,980",2.2%,2.162,$38.31,$44.15,"$91,830",0.9%
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",detail,"1,350,180",0.5%,9.329,$28.13,$33.40,"$69,480",0.3%
41-9000,Other Sales and Related Workers,minor,"616,650",1.2%,4.261,$17.17,$24.70,"$51,380",0.8%
41-9010,"Models, Demonstrators, and Product Promoters",broad,"84,560",3.9%,0.584,$13.85,$15.96,"$33,200",1.4%
41-9011,Demonstrators and Product Promoters,detail,"81,250",3.9%,0.561,$13.92,$15.99,"$33,260",1.4%
41-9012,Models,detail,"3,310",21.5%,0.023,$11.43,$15.18,"$31,570",6.6%
41-9020,Real Estate Brokers and Sales Agents,broad,"197,080",1.6%,1.362,$24.18,$31.37,"$65,240",1.2%
41-9021,Real Estate Brokers,detail,"40,320",3.3%,0.279,$27.99,$37.95,"$78,940",2.8%
41-9022,Real Estate Sales Agents,detail,"156,760",1.9%,1.083,$23.41,$29.67,"$61,720",1.2%
41-9031,Sales Engineers,detail,"65,720",2.5%,0.454,$48.76,$52.22,"$108,610",0.8%
41-9041,Telemarketers,detail,"164,160",3.1%,1.134,$12.14,$13.72,"$28,550",0.8%
41-9090,Miscellaneous Sales and Related Workers,broad,"105,120",1.8%,0.726,$15.60,$19.19,"$39,910",0.7%
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",detail,"9,430",8.8%,0.065,$12.71,$16.40,"$34,120",3.5%
41-9099,"Sales and Related Workers, All Other",detail,"95,690",1.7%,0.661,$15.97,$19.46,"$40,480",0.7%
43-0000,Office and Administrative Support Occupations,major,"21,828,990",0.2%,150.822,$17.19,$18.75,"$38,990",0.1%
43-1011,First-Line Supervisors of Office and Administrative Support Workers,detail,"1,477,560",0.3%,10.209,$26.83,$28.53,"$59,340",0.1%
43-2000,Communications Equipment Operators,minor,"78,860",2.3%,0.545,$14.36,$15.45,"$32,140",0.7%
43-2011,"Switchboard Operators, Including Answering Service",detail,"71,600",2.5%,0.495,$14.14,$15.04,"$31,290",0.7%
43-2021,Telephone Operators,detail,"5,160",6.8%,0.036,$17.91,$18.93,"$39,360",2.2%
43-2099,"Communications Equipment Operators, All Other",detail,"2,100",6.7%,0.015,$19.74,$20.87,"$43,410",3.3%
43-3000,Financial Clerks,minor,"2,978,640",0.3%,20.580,$18.02,$19.07,"$39,660",0.1%
43-3011,Bill and Account Collectors,detail,"251,330",1.5%,1.737,$17.32,$18.38,"$38,220",0.4%
43-3021,Billing and Posting Clerks,detail,"469,250",0.8%,3.242,$18.17,$19.00,"$39,520",0.2%
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",detail,"1,530,430",0.4%,10.574,$19.35,$20.25,"$42,110",0.1%
43-3041,Gaming Cage Workers,detail,"16,020",6.3%,0.111,$13.22,$13.93,"$28,980",0.8%
43-3051,Payroll and Timekeeping Clerks,detail,"144,030",0.9%,0.995,$21.66,$22.17,"$46,110",0.2%
43-3061,Procurement Clerks,detail,"68,100",1.5%,0.471,$20.51,$20.76,"$43,180",0.3%
43-3071,Tellers,detail,"468,470",0.8%,3.237,$14.16,$14.49,"$30,140",0.2%
43-3099,"Financial Clerks, All Other",detail,"31,010",5.8%,0.214,$19.72,$21.00,"$43,670",1.1%
43-4000,Information and Record Clerks,minor,"5,773,540",0.3%,39.891,$15.91,$17.19,"$35,750",0.1%
43-4011,Brokerage Clerks,detail,"55,100",2.4%,0.381,$24.71,$25.93,"$53,940",0.6%
43-4021,Correspondence Clerks,detail,"5,460",4.1%,0.038,$17.93,$18.75,"$38,990",1.5%
43-4031,"Court, Municipal, and License Clerks",detail,"142,350",0.7%,0.984,$18.48,$19.76,"$41,100",0.6%
43-4041,"Credit Authorizers, Checkers, and Clerks",detail,"29,980",2.9%,0.207,$18.63,$19.55,"$40,670",0.6%
43-4051,Customer Service Representatives,detail,"2,871,400",0.5%,19.839,$16.23,$17.53,"$36,470",0.2%
43-4061,"Eligibility Interviewers, Government Programs",detail,"137,830",3.6%,0.952,$22.12,$22.34,"$46,480",0.5%
43-4071,File Clerks,detail,"110,020",1.3%,0.760,$15.24,$16.25,"$33,810",0.4%
43-4081,"Hotel, Motel, and Resort Desk Clerks",detail,"260,780",0.9%,1.802,$11.39,$12.08,"$25,130",0.4%
43-4111,"Interviewers, Except Eligibility and Loan",detail,"192,820",1.3%,1.332,$16.38,$17.08,"$35,520",0.4%
43-4121,"Library Assistants, Clerical",detail,"88,970",1.3%,0.615,$12.74,$13.92,"$28,960",0.5%
43-4131,Loan Interviewers and Clerks,detail,"222,620",1.6%,1.538,$19.18,$19.86,"$41,310",0.4%
43-4141,New Accounts Clerks,detail,"41,500",3.1%,0.287,$17.21,$17.79,"$37,000",0.6%
43-4151,Order Clerks,detail,"159,210",3.0%,1.100,$16.09,$17.21,"$35,790",0.9%
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",detail,"124,600",0.9%,0.861,$19.42,$20.01,"$41,620",0.2%
43-4171,Receptionists and Information Clerks,detail,"1,043,630",0.5%,7.211,$14.01,$14.59,"$30,350",0.2%
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,detail,"132,050",2.5%,0.912,$17.90,$20.06,"$41,730",1.0%
43-4199,"Information and Record Clerks, All Other",detail,"155,220",0.9%,1.072,$19.69,$20.15,"$41,900",0.3%
43-5000,"Material Recording, Scheduling, Dispatching, and Distributing Workers",minor,"4,149,140",0.4%,28.667,$15.45,$17.28,"$35,950",0.1%
43-5011,Cargo and Freight Agents,detail,"92,280",2.6%,0.638,$20.77,$22.15,"$46,070",0.8%
43-5021,Couriers and Messengers,detail,"75,720",2.6%,0.523,$13.81,$14.72,"$30,620",0.7%
43-5030,Dispatchers,broad,"294,900",1.0%,2.038,$19.17,$20.70,"$43,050",0.4%
43-5031,"Police, Fire, and Ambulance Dispatchers",detail,"95,020",0.9%,0.657,$19.55,$20.81,"$43,290",0.4%
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",detail,"199,880",1.4%,1.381,$18.98,$20.64,"$42,940",0.6%
43-5041,"Meter Readers, Utilities",detail,"33,570",3.9%,0.232,$19.40,$21.46,"$44,640",1.1%
43-5050,Postal Service Workers,broad,"525,070",0.0%,3.628,$28.25,$24.78,"$51,540",0.2%
43-5051,Postal Service Clerks,detail,"78,830",0.0%,0.545,$26.58,$24.45,"$50,860",0.2%
43-5052,Postal Service Mail Carriers,detail,"342,410",0.0%,2.366,$26.54,$24.89,"$51,780",0.2%
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",detail,"103,830",0.0%,0.717,$28.26,$24.64,"$51,250",0.4%
43-5061,"Production, Planning, and Expediting Clerks",detail,"350,150",0.8%,2.419,$22.88,$24.05,"$50,020",0.2%
43-5071,"Shipping, Receiving, and Traffic Clerks",detail,"655,590",0.7%,4.530,$15.88,$16.82,"$34,980",0.2%
43-5081,Stock Clerks and Order Fillers,detail,"2,056,030",0.6%,14.206,$12.36,$13.71,"$28,520",0.2%
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",detail,"65,830",2.1%,0.455,$15.53,$16.39,"$34,100",0.5%
43-6010,Secretaries and Administrative Assistants,broad,"3,498,120",0.3%,24.169,$18.69,$20.34,"$42,320",0.2%
43-6011,Executive Secretaries and Executive Administrative Assistants,detail,"570,530",0.7%,3.942,$28.53,$29.59,"$61,550",0.2%
43-6012,Legal Secretaries,detail,"176,880",1.5%,1.222,$22.29,$24.06,"$50,040",0.8%
43-6013,Medical Secretaries,detail,"585,410",0.8%,4.045,$17.19,$17.83,"$37,090",0.3%
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",detail,"2,165,310",0.3%,14.961,$17.61,$18.28,"$38,030",0.2%
43-9000,Other Office and Administrative Support Workers,minor,"3,873,130",0.4%,26.760,$16.16,$17.28,"$35,940",0.2%
43-9011,Computer Operators,detail,"34,700",2.8%,0.240,$22.04,$22.47,"$46,750",0.6%
43-9020,Data Entry and Information Processing Workers,broad,"228,060",1.2%,1.576,$16.24,$17.05,"$35,470",0.4%
43-9021,Data Entry Keyers,detail,"174,930",1.4%,1.209,$15.47,$16.22,"$33,740",0.3%
43-9022,Word Processors and Typists,detail,"53,130",2.9%,0.367,$19.11,$19.79,"$41,160",0.9%
43-9031,Desktop Publishers,detail,"10,740",4.1%,0.074,$20.63,$22.47,"$46,750",1.6%
43-9041,Insurance Claims and Policy Processing Clerks,detail,"274,560",1.9%,1.897,$19.07,$20.26,"$42,150",0.4%
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",detail,"86,150",2.1%,0.595,$14.63,$15.41,"$32,040",0.5%
43-9061,"Office Clerks, General",detail,"2,972,930",0.4%,20.541,$15.74,$16.92,"$35,200",0.2%
43-9071,"Office Machine Operators, Except Computer",detail,"48,580",3.1%,0.336,$15.76,$16.60,"$34,530",0.6%
43-9081,Proofreaders and Copy Markers,detail,"9,820",5.4%,0.068,$18.82,$20.17,"$41,950",1.9%
43-9111,Statistical Assistants,detail,"11,010",3.3%,0.076,$23.24,$24.09,"$50,110",1.4%
43-9199,"Office and Administrative Support Workers, All Other",detail,"196,570",1.3%,1.358,$16.76,$18.02,"$37,480",1.1%
45-0000,"Farming, Fishing, and Forestry Occupations",major,"480,130",1.3%,3.317,$12.20,$14.49,"$30,140",0.5%
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",detail,"21,800",2.3%,0.151,$22.57,$24.42,"$50,790",0.8%
45-2000,Agricultural Workers,minor,"411,460",1.5%,2.843,$11.89,$13.42,"$27,910",0.5%
45-2011,Agricultural Inspectors,detail,"13,240",1.4%,0.091,$21.22,$22.10,"$45,970",0.5%
45-2021,Animal Breeders,detail,"2,160",10.4%,0.015,$17.82,$20.71,"$43,080",2.7%
45-2041,"Graders and Sorters, Agricultural Products",detail,"38,210",3.8%,0.264,$11.75,$12.74,"$26,510",2.7%
45-2090,Miscellaneous Agricultural Workers,broad,"357,850",1.6%,2.472,$11.83,$13.12,"$27,290",0.5%
45-2091,Agricultural Equipment Operators,detail,"26,060",4.2%,0.180,$14.99,$15.68,"$32,620",1.2%
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",detail,"287,420",2.0%,1.986,$11.69,$12.72,"$26,450",0.6%
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",detail,"37,780",2.7%,0.261,$12.77,$13.87,"$28,840",0.9%
45-2099,"Agricultural Workers, All Other",detail,"6,600",8.6%,0.046,$14.18,$16.51,"$34,340",2.7%
45-4000,"Forest, Conservation, and Logging Workers",minor,"44,910",2.1%,0.310,$18.64,$19.47,"$40,500",0.9%
45-4011,Forest and Conservation Workers,detail,"7,510",5.5%,0.052,$13.20,$15.06,"$31,320",0.9%
45-4020,Logging Workers,broad,"37,400",2.3%,0.258,$19.54,$20.36,"$42,340",1.0%
45-4021,Fallers,detail,"4,680",8.4%,0.032,$21.19,$23.33,"$48,520",3.2%
45-4022,Logging Equipment Operators,detail,"25,730",2.9%,0.178,$19.48,$20.12,"$41,840",1.1%
45-4023,Log Graders and Scalers,detail,"3,330",6.0%,0.023,$18.38,$18.78,"$39,060",1.4%
45-4029,"Logging Workers, All Other",detail,"3,670",9.5%,0.025,$19.11,$19.68,"$40,940",3.1%
47-0000,Construction and Extraction Occupations,major,"5,962,640",0.2%,41.197,$22.12,$24.62,"$51,220",0.2%
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,detail,"598,210",0.5%,4.133,$31.36,$33.91,"$70,540",0.2%
47-2000,Construction Trades Workers,minor,"4,497,490",0.3%,31.074,$21.54,$23.97,"$49,850",0.2%
47-2011,Boilermakers,detail,"13,870",4.9%,0.096,$29.88,$30.41,"$63,240",1.1%
47-2020,"Brickmasons, Blockmasons, and Stonemasons",broad,"76,240",2.2%,0.527,$23.78,$25.39,"$52,810",0.9%
47-2021,Brickmasons and Blockmasons,detail,"63,930",2.3%,0.442,$24.49,$26.17,"$54,430",1.0%
47-2022,Stonemasons,detail,"12,310",7.6%,0.085,$19.82,$21.33,"$44,370",2.4%
47-2031,Carpenters,detail,"718,730",0.8%,4.966,$22.40,$24.58,"$51,120",0.4%
47-2040,"Carpet, Floor, and Tile Installers and Finishers",broad,"83,740",2.3%,0.579,$19.63,$21.79,"$45,330",0.9%
47-2041,Carpet Installers,detail,"26,100",4.6%,0.180,$18.92,$21.42,"$44,550",1.9%
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",detail,"14,050",8.5%,0.097,$20.56,$22.48,"$46,760",2.2%
47-2043,Floor Sanders and Finishers,detail,"4,460",9.8%,0.031,$18.04,$19.18,"$39,890",2.8%
47-2044,Tile and Marble Setters,detail,"39,130",3.8%,0.270,$20.12,$22.09,"$45,950",1.3%
